Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
MALAD WEST,162,ASLAM RAMJANALI SHAIKH,Indian National Congress,VINOD SHELAR,Bharatiya Janata Party,6227
GOREGAON,163,VIDYA THAKUR,Bharatiya Janata Party,SAMEER KAMLAKAR DESAI,Shiv Sena (Uddhav Balasaheb Thackeray),23600
VERSOVA,164,HAROON KHAN,Shiv Sena (Uddhav Balasaheb Thackeray),DR. BHARATI LAVEKAR,Bharatiya Janata Party,1600
ANDHERI WEST,165,AMEET BHASKAR SATAM,Bharatiya Janata Party,ASHOK BHAU JADHAV,Indian National Congress,19599
ANDHERI EAST,166,MURJI PATEL (KAKA),Shiv Sena,RUTUJA RAMESH LATKE,Shiv Sena (Uddhav Balasaheb Thackeray),25486
VILE PARLE,167,ALAVANI PARAG,Bharatiya Janata Party,SANDEEP RAJU NAIK,Shiv Sena (Uddhav Balasaheb Thackeray),54935
CHANDIVALI,168,DILIP BHAUSAHEB LANDE,Shiv Sena,KHAN MOHD. ARIF (NASEEM),Indian National Congress,20625
GHATKOPAR WEST,169,RAM KADAM,Bharatiya Janata Party,SANJAY DATTATRAY BHALERAO,Shiv Sena (Uddhav Balasaheb Thackeray),12971
GHATKOPAR EAST,170,PARAG SHAH,Bharatiya Janata Party,JADHAV RAKHEE HARISHCHANDRA,Nationalist Congress Party – Sharadchandra Pawar,34999
MANKHURD SHIVAJI NAGAR,171,ABU ASIM AZMI,Samajwadi Party,ATEEQUE AHMAD KHAN,All India Majlis-E-Ittehadul Muslimeen,12753
ANUSHAKTI NAGAR,172,SANA MALIK,Nationalist Congress Party,FAHAD AHMAD,Nationalist Congress Party – Sharadchandra Pawar,3378
CHEMBUR,173,TUKARAM RAMKRUSHNA KATE,Shiv Sena,PRAKASH VAIKUNTH PHATERPEKAR,Shiv Sena (Uddhav Balasaheb Thackeray),10711
KURLA,174,KUDALKAR MANGESH,Shiv Sena,PRAVINA MANISH MORAJKAR,Shiv Sena (Uddhav Balasaheb Thackeray),4187
KALINA,175,SANJAY GOVIND POTNIS,Shiv Sena (Uddhav Balasaheb Thackeray),AMARJEET AWADHNARAYAN SINGH,Bharatiya Janata Party,5008
VANDRE EAST,176,VARUN SATISH SARDESAI,Shiv Sena (Uddhav Balasaheb Thackeray),ZEESHAN BABA SIDDIQUE,Nationalist Congress Party,11365
VANDRE WEST,177,ADV. ASHISH SHELAR,Bharatiya Janata Party,ASIF AHMED ZAKARIA,Indian National Congress,19931
DHARAVI,178,DR. GAIKWAD JYOTI EKNATH,Indian National Congress,RAJESH SHIVDAS KHANDARE,Shiv Sena,23459
SION KOLIWADA,179,CAPTAIN R TAMIL SELVAN,Bharatiya Janata Party,GANESH KUMAR YADAV,Indian National Congress,7895
WADALA,180,KALIDAS NILKANTH KOLAMBKAR,Bharatiya Janata Party,SHRADDHA SHREEDHAR JADHAV,Shiv Sena (Uddhav Balasaheb Thackeray),24973
MAHIM,181,MAHESH BALIRAM SAWANT,Shiv Sena (Uddhav Balasaheb Thackeray),SADA SARVANKAR,Shiv Sena,1316
WORLI,182,ADITYA UDDHAV THACKERAY,Shiv Sena (Uddhav Balasaheb Thackeray),MILIND MURLI DEORA,Shiv Sena,8801
SHIVADI,183,AJAY VINAYAK CHOUDHARI,Shiv Sena (Uddhav Balasaheb Thackeray),BALA DAGDU NANDGAONKAR,Maharashtra Navnirman sena,7140
BYCULLA,184,MANOJ PANDURANG JAMSUTKAR,Shiv Sena (Uddhav Balasaheb Thackeray),YAMINI YASHWANT JADHAV,Shiv Sena,31361
MALABAR HILL,185,MANGAL PRABHAT LODHA,Bharatiya Janata Party,BHERULAL DAYALAL CHOUDHARY,Shiv Sena (Uddhav Balasaheb Thackeray),68019
MUMBADEVI,186,AMIN PATEL,Indian National Congress,SHAINA MANISH CHUDASAMA MUNOT,Shiv Sena,34844
COLABA,187,ADV RAHUL SURESH NARWEKAR,Bharatiya Janata Party,HEERA NAWAJI DEVASI,Indian National Congress,48581
PANVEL,188,PRASHANT RAMSHETH THAKUR,Bharatiya Janata Party,BALARAM DATTATREY PATIL,Peasants And Workers Party of India,51091
KARJAT,189,THORVE MAHENDRA SADASHIV,Shiv Sena,SUDHAKAR PARSHURAM GHARE,Independent,5694
URAN,190,MAHESH BALDI,Bharatiya Janata Party,PRITAM J. M. MHATRE,Peasants And Workers Party of India,6512
PEN,191,RAVISHETH PATIL,Bharatiya Janata Party,PRASAD DADA BHOIR,Shiv Sena (Uddhav Balasaheb Thackeray),60810
ALIBAG,192,MAHENDRA HARI DALVI,Shiv Sena,CHITRALEKHA NRUPAL PATIL ALIAS CHIUTAI,Peasants And Workers Party of India,29565
SHRIVARDHAN,193,ADITI SUNIL TATKARE,Nationalist Congress Party,ANIL DATTARAM NAVGANE,Nationalist Congress Party – Sharadchandra Pawar,82798
MAHAD,194,GOGAWALE BHARAT MARUTI,Shiv Sena,SNEHAL MANIK JAGTAP,Shiv Sena (Uddhav Balasaheb Thackeray),26210
JUNNAR,195,SHARADDADA BHIMAJI SONAWANE,Independent,SATYASHIL SOPANSHETH SHERKAR,Nationalist Congress Party – Sharadchandra Pawar,6664
AMBEGAON,196,DILIP DATTATRAY WALSE PATIL,Nationalist Congress Party,DEVDATTA JAYVANTRAO NIKAM,Nationalist Congress Party – Sharadchandra Pawar,1523
KHED ALANDI,197,BABAJI RAMCHANDRA KALE,Shiv Sena (Uddhav Balasaheb Thackeray),DILIP DATTATRAY MOHITE,Nationalist Congress Party,51743
SHIRUR,198,DNYANESHWAR ALIAS MAULI ABA KATKE,Nationalist Congress Party,ASHOK RAOSAHEB PAWAR,Nationalist Congress Party – Sharadchandra Pawar,74550
DAUND,199,KUL RAHUL SUBHASHRAO,Bharatiya Janata Party,RAMESHAPPA KISANRAO THORAT,Nationalist Congress Party – Sharadchandra Pawar,13889
INDAPUR,200,DATTATRAYA VITHOBA BHARANE,Nationalist Congress Party,HARSHVARDHAN SHAHAJIRAO PATIL,Nationalist Congress Party – Sharadchandra Pawar,19410
BARAMATI,201,AJIT ANANTRAO PAWAR,Nationalist Congress Party,YUGENDRA SHRINIVAS PAWAR,Nationalist Congress Party – Sharadchandra Pawar,100899
